ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance_km,driver_age_group,driver_rating_bin,DistanceCategory
0xcb5d,LUDHRES04DEL01,28.0,4.8,30.914057,75.83982,30.924057,75.84982,,,,Stormy,High,2,Snack,scooter,1.0,No,Metropolitian,16,1.4650674052309467,25-34,>4.5,01-02 km
0xc88c,LUDHRES04DEL01,21.0,4.5,30.914057,75.83982,30.924057,75.84982,,,,Windy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,13,1.4650674052309467,<25,3.6–4.5,01-02 km
0xcd9d,LUDHRES04DEL01,21.0,4.9,30.914057,75.83982,30.924057,75.84982,2022-11-02,,,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,16,1.4650674052309467,<25,>4.5,01-02 km
0xd35f,LUDHRES05DEL01,32.0,4.8,30.905562,75.832841,30.915562,75.842841,,,,Sandstorms,High,2,Buffet,electric_scooter,1.0,No,Metropolitian,26,1.465122557159026,25-34,>4.5,01-02 km
0xc4e8,LUDHRES05DEL01,25.0,5.0,30.905562,75.832841,30.915562,75.842841,2022-11-02,,,Stormy,High,1,Snack,motorcycle,1.0,No,Metropolitian,13,1.465122557159026,<25,>4.5,01-02 km
0xcdce,LUDHRES05DEL01,20.0,4.7,30.905562,75.832841,30.915562,75.842841,,,,Sunny,Low,2,Meal,scooter,1.0,No,Urban,21,1.465122557159026,<25,>4.5,01-02 km
0xe16d,LUDHRES05DEL01,37.0,4.9,30.905562,75.832841,30.915562,75.842841,,,,Fog,Low,1,Snack,motorcycle,1.0,No,Urban,15,1.465122557159026,35-44,>4.5,01-02 km
0xdb21,LUDHRES19DEL01,35.0,4.5,30.902872,75.826808,30.912872,75.836808,2022-11-02,,,Sandstorms,Low,2,Drinks,scooter,1.0,No,Urban,27,1.4651400191363693,25-34,3.6–4.5,01-02 km
0xd72e,LUDHRES19DEL01,31.0,5.0,30.902872,75.826808,30.912872,75.836808,,,,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,28,1.4651400191363693,25-34,>4.5,01-02 km
0xc2f0,LUDHRES08DEL01,36.0,4.8,30.899992,75.831338,30.909992,75.841338,,,,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,27,1.465158713283059,35-44,>4.5,01-02 km
0xd9fb,LUDHRES08DEL01,22.0,4.5,30.899992,75.831338,30.909992,75.841338,,,,Windy,Low,2,Drinks,scooter,1.0,No,Metropolitian,16,1.465158713283059,<25,3.6–4.5,01-02 km
0xc9bb,LUDHRES08DEL01,26.0,4.8,30.899992,75.831338,30.909992,75.841338,2022-11-02,,,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,1.465158713283059,25-34,>4.5,01-02 km
0xd6a2,LUDHRES08DEL01,20.0,4.7,30.899992,75.831338,30.909992,75.841338,,,,Cloudy,Low,1,Meal,motorcycle,1.0,No,Urban,18,1.465158713283059,<25,>4.5,01-02 km
0xd993,LUDHRES15DEL01,32.0,4.8,30.899584,75.809346,30.909584,75.819346,2022-11-02,,,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,29,1.4651613615197694,25-34,>4.5,01-02 km
0xc912,LUDHRES15DEL01,22.0,4.8,30.899584,75.809346,30.909584,75.819346,,,,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,16,1.4651613615197694,<25,>4.5,01-02 km
0xc76a,LUDHRES15DEL01,37.0,4.4,30.899584,75.809346,30.909584,75.819346,,,,Cloudy,High,1,Meal,motorcycle,1.0,No,Metropolitian,39,1.4651613615197694,35-44,3.6–4.5,01-02 km
0xd9c7,LUDHRES16DEL01,38.0,4.9,30.895817,75.813112,30.905817,75.823112,,,,Windy,High,0,Snack,motorcycle,2.0,No,Metropolitian,32,1.465185811091463,35-44,>4.5,01-02 km
0xccaf,LUDHRES16DEL01,34.0,4.5,30.895817,75.813112,30.905817,75.823112,,,,Stormy,Low,1,Meal,motorcycle,0.0,No,Urban,24,1.465185811091463,25-34,3.6–4.5,01-02 km
